Iterations,Accuracy (%),ATK,b,Group
0,9.805689102564102,Echo-1,1,All
30,9.805689102564102,Echo-1,1,All
60,9.805689102564102,Echo-1,1,All
90,9.805689102564102,Echo-1,1,All
120,9.805689102564102,Echo-1,1,All
150,9.805689102564102,Echo-1,1,All
180,9.805689102564102,Echo-1,1,All
210,9.805689102564102,Echo-1,1,All
240,9.805689102564102,Echo-1,1,All
270,9.805689102564102,Echo-1,1,All
300,9.805689102564102,Echo-1,1,All
330,9.805689102564102,Echo-1,1,All
360,9.805689102564102,Echo-1,1,All
390,9.805689102564102,Echo-1,1,All
420,9.805689102564102,Echo-1,1,All
450,9.805689102564102,Echo-1,1,All
480,9.805689102564102,Echo-1,1,All
510,9.805689102564102,Echo-1,1,All
540,9.805689102564102,Echo-1,1,All
570,9.805689102564102,Echo-1,1,All
600,9.805689102564102,Echo-1,1,All
630,9.805689102564102,Echo-1,1,All
660,9.805689102564102,Echo-1,1,All
690,9.805689102564102,Echo-1,1,All
720,9.805689102564102,Echo-1,1,All
750,9.805689102564102,Echo-1,1,All
780,9.805689102564102,Echo-1,1,All
810,9.805689102564102,Echo-1,1,All
840,9.805689102564102,Echo-1,1,All
870,9.805689102564102,Echo-1,1,All
900,9.805689102564102,Echo-1,1,All
930,9.805689102564102,Echo-1,1,All
960,9.805689102564102,Echo-1,1,All
990,9.805689102564102,Echo-1,1,All
1020,9.805689102564102,Echo-1,1,All
1050,9.805689102564102,Echo-1,1,All
1080,9.805689102564102,Echo-1,1,All
1110,9.805689102564102,Echo-1,1,All
1140,9.805689102564102,Echo-1,1,All
1170,9.805689102564102,Echo-1,1,All
1200,9.805689102564102,Echo-1,1,All
1230,9.805689102564102,Echo-1,1,All
1260,9.805689102564102,Echo-1,1,All
1290,9.805689102564102,Echo-1,1,All
1320,9.805689102564102,Echo-1,1,All
1350,9.805689102564102,Echo-1,1,All
1380,9.805689102564102,Echo-1,1,All
1410,9.805689102564102,Echo-1,1,All
1440,9.805689102564102,Echo-1,1,All
1470,9.805689102564102,Echo-1,1,All
0,44.99198717948718,Echo-1,0,All
30,78.32532051282051,Echo-1,0,All
60,83.41346153846153,Echo-1,0,All
90,85.8573717948718,Echo-1,0,All
120,87.16947115384616,Echo-1,0,All
150,87.82051282051282,Echo-1,0,All
180,88.11097756410257,Echo-1,0,All
210,88.39142628205128,Echo-1,0,All
240,88.671875,Echo-1,0,All
270,88.9423076923077,Echo-1,0,All
300,89.08253205128206,Echo-1,0,All
330,89.20272435897436,Echo-1,0,All
360,89.31290064102564,Echo-1,0,All
390,89.39302884615384,Echo-1,0,All
420,89.5332532051282,Echo-1,0,All
450,89.62339743589743,Echo-1,0,All
480,89.70352564102564,Echo-1,0,All
510,89.78365384615384,Echo-1,0,All
540,89.8036858974359,Echo-1,0,All
570,89.85376602564102,Echo-1,0,All
600,89.87379807692308,Echo-1,0,All
630,89.9238782051282,Echo-1,0,All
660,89.94391025641026,Echo-1,0,All
690,89.97395833333333,Echo-1,0,All
720,90.08413461538461,Echo-1,0,All
750,90.14423076923077,Echo-1,0,All
780,90.17427884615384,Echo-1,0,All
810,90.1542467948718,Echo-1,0,All
840,90.20432692307692,Echo-1,0,All
870,90.24439102564102,Echo-1,0,All
900,90.22435897435898,Echo-1,0,All
930,90.2744391025641,Echo-1,0,All
960,90.26442307692308,Echo-1,0,All
990,90.2744391025641,Echo-1,0,All
1020,90.29447115384616,Echo-1,0,All
1050,90.30448717948718,Echo-1,0,All
1080,90.34455128205128,Echo-1,0,All
1110,90.40464743589743,Echo-1,0,All
1140,90.41466346153847,Echo-1,0,All
1170,90.43469551282051,Echo-1,0,All
1200,90.39463141025641,Echo-1,0,All
1230,90.41466346153847,Echo-1,0,All
1260,90.40464743589743,Echo-1,0,All
1290,90.40464743589743,Echo-1,0,All
1320,90.41466346153847,Echo-1,0,All
1350,90.42467948717949,Echo-1,0,All
1380,90.42467948717949,Echo-1,0,All
1410,90.43469551282051,Echo-1,0,All
1440,90.43469551282051,Echo-1,0,All
1470,90.46474358974359,Echo-1,0,All
